year,title
1939,Wuthering Heights
1939,The Wizard of Oz
1939,Stagecoach
1939,Of Mice and Men
1939,Ninotchka
1939,Mr. Smith Goes to Washington
1939,Love Affair
1939,"Goodbye, Mr. Chips"
1939,Dark Victory
1939,Gone with the Wind
1940,The Philadelphia Story
1940,Our Town
1940,The Long Voyage Home
1940,The Letter
1940,Kitty Foyle
1940,The Great Dictator
1940,The Grapes of Wrath
1940,Foreign Correspondent
1940,"All This, and Heaven Too"
1940,Rebecca
1941,Suspicion
1941,Sergeant York
1941,One Foot in Heaven
1941,The Maltese Falcon
1941,The Little Foxes
1941,Hold Back the Dawn
1941,Here Comes Mr. Jordan
1941,Citizen Kane
1941,Blossoms in the Dust
1941,How Green Was My Valley
1942,Yankee Doodle Dandy
1942,Wake Island
1942,The Talk of the Town
1942,Random Harvest
1942,The Pride of the Yankees
1942,The Pied Piper
1942,The Magnificent Ambersons
1942,Kings Row
1941,49th Parallel
1942,Mrs. Miniver
1943,Watch on the Rhine
1943,The Song of Bernadette
1942,The Ox-Bow Incident
1943,The More the Merrier
1943,Madame Curie
1942,In Which We Serve
1943,The Human Comedy
1943,Heaven Can Wait
1943,For Whom the Bell Tolls
1942,Casablanca
1944,Wilson
1944,Since You Went Away
1944,Gaslight
1944,Double Indemnity
1944,Going My Way
1945,Spellbound
1945,Mildred Pierce
1945,The Bells of St. Mary's
1945,Anchors Aweigh
1945,The Lost Weekend
1946,The Yearling
1946,The Razor's Edge
1946,It's a Wonderful Life
1944,Henry V
1946,The Best Years of Our Lives
1947,Miracle on 34th Street
1946,Great Expectations
1947,Crossfire
1947,The Bishop's Wife
1947,Gentleman's Agreement
1948,The Treasure of the Sierra Madre
1948,The Snake Pit
1948,The Red Shoes
1948,Johnny Belinda
1948,Hamlet
1949,Twelve O'Clock High
1949,A Letter to Three Wives
1949,The Heiress
1949,Battleground
1949,All the King's Men
1950,Sunset Blvd.
1950,King Solomon's Mines
1950,Father of the Bride
1950,Born Yesterday
1950,All About Eve
1951,A Streetcar Named Desire
1951,Quo Vadis
1951,A Place in the Sun
1951,Decision Before Dawn
1951,An American in Paris
1952,The Quiet Man
1952,Moulin Rouge
1952,Ivanhoe
1952,High Noon
1952,The Greatest Show on Earth
1953,Shane
1953,Roman Holiday
1953,The Robe
1953,Julius Caesar
1953,From Here to Eternity
1954,Three Coins in the Fountain
